Fiscal Year Closed,Release Month & Year,Closure Type,Race - Ethnicity,Sex,Age at Closure,Institution Name ,Convicting Offense,Convicting Offense Classification,Zip Code of Work Unit Region,Convicting Offense Description,Convicting Offense Type,Convicting Offense Subtype,Months Served
2017,04/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,24,Newton Correctional Facility,709.8(1),C Felony,"50208(41.707788, -93.035318)",Lascivious Acts with A Child - Life Special Sentence,Violent,Sex,26.74
2017,12/01/2016 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,30,Anamosa State Penitentiary,908.5(2)B,D Felony,"52205(42.112167, -91.282703)",SPECIAL SENTENCE REVOCATION - 2ND/SUB.,Other,Other Criminal,65.07
2017,12/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,20,Anamosa State Penitentiary,716.5,Aggravated Misdemeanor,"52205(42.112167, -91.282703)",CRIMINAL MISCHIEF 3RD DEGREE,Property,Vandalism,2.96
2017,03/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,38,Fort Dodge Correctional Facility,726.3,C Felony,"50501(42.494187, -94.188076)",NEGLECT OR ABANDONMENT,Violent,Other Violent,32.27
2017,06/01/2017 12:00:00 AM,Paroled W/Immediate Discharge,Black - Non-Hispanic,Male,54,Newton Correctional Facility,124.401(1)(c)(1),C Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Heroin LT 100gm",Drug,Trafficking,7.57
2017,12/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,31,Iowa Correctional Institution for women,711.4,D Felony,"50169(41.658201, -93.356797)",EXTORTION,Violent,Other Violent,23.13
2017,08/01/2016 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,45,Mount Pleasant Correctional Facility,"709.4(2C,4)",C Felony,"52641(40.988278, -91.57896)",Sexual Abuse 3rd Degree/Life Special Sentence.,Violent,Sex,32.57
2017,04/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,23,Mount Pleasant Correctional Facility,713.5,C Felony,"52641(40.988278, -91.57896)",BURGLARY 2ND DEGREE,Property,Burglary,22.3
2017,04/01/2017 12:00:00 AM,Paroled to Detainer - U.S. Marshall,White - Non-Hispanic,Male,31,Clarinda Correctional Facility,713.6A,D Felony,"51632(40.747654, -95.045654)",BURGLARY 3RD DEGREE,Property,Burglary,8.03
2017,11/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,31,Iowa Correctional Institution for women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,17.86
2017,08/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,49,Mount Pleasant Correctional Facility,713.6A,D Felony,"52641(40.988278, -91.57896)",BURGLARY 3RD DEGREE,Property,Burglary,11.64
2017,03/01/2017 12:00:00 AM,Paroled W/Immediate Discharge,Amercian Indian or Alaska Native - Non-Hispanic,Female,55,Iowa Correctional Institution for women,715A.2(2)a,D Felony,"50169(41.658201, -93.356797)",FORGERY,Property,Forgery/Fraud,35.59
2017,10/01/2016 12:00:00 AM,Work Release Granted,White - Hispanic,Female,20,Iowa Correctional Institution for women,713.5,C Felony,"50169(41.658201, -93.356797)",BURGLARY 2ND DEGREE,Property,Burglary,12.76
2017,05/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,28,Mount Pleasant Correctional Facility,714.2(1),C Felony,"52641(40.988278, -91.57896)",THEFT 1ST DEGREE,Property,Theft,18.78
2017,11/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,31,Fort Dodge Correctional Facility,708.2A(3B),Aggravated Misdemeanor,"50501(42.494187, -94.188076)",DOMESTIC ABUSE ASSAULT - 2ND OFFENSE,Violent,Assault,13.36
2017,06/01/2017 12:00:00 AM,Work Release Granted,White - Hispanic,Male,28,North Central Correctional Facility,713.5,C Felony,"50579(42.394184, -94.640946)",BURGLARY 2ND DEGREE,Property,Burglary,7.57
2017,09/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,39,Mount Pleasant Correctional Facility,692A.111-B,D Felony,"52641(40.988278, -91.57896)",Sex Offender - Registration Violation - 2nd or subsequent offense,Public Order,Other Public Order,13.39
2017,08/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,60,Newton Correctional Facility,124.401(1)(b)(7),B Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,24.47
2017,09/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,46,Iowa Correctional Institution for women,714.7,Aggravated Misdemeanor,"50169(41.658201, -93.356797)",OPERATE VEHICLE NO CONSENT,Property,Theft,4.57
2017,10/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,43,Fort Dodge Correctional Facility,124.401(5)(c),D Felony,"50501(42.494187, -94.188076)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,8.98
2017,03/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,36,Iowa State Penitentiary,713.4,C Felony,"52627(40.651925, -91.34727)",ATTEMPT BURGLARY 1ST DEGREE,Violent,Other Violent,12.11
2017,08/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,32,Iowa State Penitentiary,708.8,D Felony,"52627(40.651925, -91.34727)",GOING ARMED wITH INTENT,Violent,Assault,26.02
2017,03/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,29,Iowa Correctional Institution for women,713.6A,D Felony,"50169(41.658201, -93.356797)",BURGLARY 3RD DEGREE,Property,Burglary,8.52
2017,01/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,24,Anamosa State Penitentiary,724.26,D Felony,"52205(42.112167, -91.282703)","REC. TRANSP, POS. FIREARM FELON",Public Order,weapons,16.32
2017,02/01/2017 12:00:00 AM,Work Release Granted,White - Hispanic,Male,21,Fort Dodge Correctional Facility,708.2(3),Aggravated Misdemeanor,"50501(42.494187, -94.188076)",ASSAULT wITH A wEAPON,Violent,Assault,7.73
2017,06/01/2017 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,18,Iowa Medical & Classification Center,709.11(3),Aggravated Misdemeanor,"52241(41.694462, -91.58569)",Asslt. to Commit Sex Abuse/No Inj.-10 Yr. Special Sent.,Violent,Sex,12.7
2017,01/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,33,Iowa Correctional Institution for women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,5.46
2017,05/01/2017 12:00:00 AM,Paroled to Detainer - Out of State,White - Non-Hispanic,Male,35,Mount Pleasant Correctional Facility,124.401(1)(d)(2),D Felony,"52641(40.988278, -91.57896)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,25.95
2017,09/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,29,Clarinda Correctional Facility,708.2A(5),D Felony,"51632(40.747654, -95.045654)",Domestic Abuse Assault Impeding Air/Blood Flow Causing Bodily Injury,Violent,Assault,20.95
2017,04/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,25,Clarinda Correctional Facility,706A.4,B Felony,"51632(40.747654, -95.045654)",VIOLATION OF 706A.2 - ONGOING CRIMINAL CONDUCT,Other,Other Criminal,11.94
2017,10/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,39,Newton Correctional Facility,124.401(5)(c),D Felony,"50208(41.707788, -93.035318)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,5.72
2017,11/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,21,Mount Pleasant Correctional Facility,715A.2(2)a,D Felony,"52641(40.988278, -91.57896)",FORGERY,Property,Forgery/Fraud,5.69
2017,05/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,27,Iowa Correctional Institution for women,715A.2(2)a,D Felony,"50169(41.658201, -93.356797)",FORGERY,Property,Forgery/Fraud,7.3
2017,06/01/2017 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,29,Clarinda Correctional Facility,908.5(2)B,D Felony,"51632(40.747654, -95.045654)",SPECIAL SENTENCE REVOCATION - 2ND/SUB.,Other,Other Criminal,20.53
2017,02/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,28,Anamosa State Penitentiary,711.3,C Felony,"52205(42.112167, -91.282703)","ROBBERY 2ND DEGREE, 85%",Violent,Robbery,82.4
2017,08/01/2016 12:00:00 AM,Paroled to Detainer - INS,White - Hispanic,Male,61,Iowa Medical & Classification Center,124.401(1)(b)(7),B Felony,"52241(41.694462, -91.58569)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,14.34
2017,11/01/2016 12:00:00 AM,Paroled to Detainer - Iowa,White - Non-Hispanic,Male,33,Newton Correctional Facility,714.2(2),D Felony,"50208(41.707788, -93.035318)",THEFT 2ND DEGREE,Property,Theft,5.76
2017,04/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,25,Clarinda Correctional Facility,713.6A,D Felony,"51632(40.747654, -95.045654)",BURGLARY 3RD DEGREE,Property,Burglary,27.07
2017,07/01/2016 12:00:00 AM,Paroled W/Immediate Discharge,White - Hispanic,Male,42,Mount Pleasant Correctional Facility,123.91(2),Aggravated Misdemeanor,"52641(40.988278, -91.57896)","ALCOHOL CHAPTER 123, 3RD AND SUBSEQUENT",Public Order,Alcohol,7.4
2017,09/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,22,Fort Dodge Correctional Facility,"706.1,B",D Felony,"50501(42.494187, -94.188076)",Conspiracy/Commit Non-Forcible Felony,Other,Other Criminal,7.86
2017,02/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,39,Clarinda Correctional Facility,124.401(5)(c),D Felony,"51632(40.747654, -95.045654)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,36.35
2017,05/01/2017 12:00:00 AM,Work Release Granted,Asian or Pacific Islander- Non-Hispanic,Male,26,Fort Dodge Correctional Facility,715A.2(2)a,D Felony,"50501(42.494187, -94.188076)",FORGERY,Property,Forgery/Fraud,8.52
2017,07/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,27,Fort Dodge Correctional Facility,711.3,C Felony,"50501(42.494187, -94.188076)","ROBBERY 2ND DEGREE, 85%",Violent,Robbery,48.32
2017,11/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,25,Mount Pleasant Correctional Facility,713.5,C Felony,"52641(40.988278, -91.57896)",BURGLARY 2ND DEGREE,Property,Burglary,13.26
2017,12/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,24,Fort Dodge Correctional Facility,715A.2(2)a,D Felony,"50501(42.494187, -94.188076)",FORGERY,Property,Forgery/Fraud,11.32
2017,08/01/2016 12:00:00 AM,Work Release Granted,Amercian Indian or Alaska Native - Non-Hispanic,Female,28,Iowa Correctional Institution for women,715A.2(2)a,D Felony,"50169(41.658201, -93.356797)",FORGERY,Property,Forgery/Fraud,7.99
2017,10/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Female,32,Iowa Correctional Institution for women,124.401(1)(c)(1),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Heroin LT 100gm",Drug,Trafficking,6.81
2017,02/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,31,Newton Correctional Facility,124.401(1)(c)(6),C Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,7.37
2017,09/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,32,North Central Correctional Facility,714.2(2),D Felony,"50579(42.394184, -94.640946)",THEFT 2ND DEGREE,Property,Theft,42.27
2017,08/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,24,Iowa Correctional Institution for women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,14.7
2017,09/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,28,Mount Pleasant Correctional Facility,124.401(1)(b)(7),B Felony,"52641(40.988278, -91.57896)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,18.32
2017,05/01/2017 12:00:00 AM,Paroled W/Immediate Discharge,Black - Non-Hispanic,Male,19,North Central Correctional Facility,724.4,Aggravated Misdemeanor,"50579(42.394184, -94.640946)",CARRYING wEAPONS,Public Order,weapons,3.78
2017,10/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,20,North Central Correctional Facility,713.5,C Felony,"50579(42.394184, -94.640946)",BURGLARY 2ND DEGREE,Property,Burglary,12.5
2017,02/01/2017 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,45,Newton Correctional Facility,709.4(2)(b),C Felony,"50208(41.707788, -93.035318)",Sexual Abuse-3rd/Victim 12 or 13 Yrs Old-Life Supervision,Violent,Sex,49.67
2017,07/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,32,Mount Pleasant Correctional Facility,713.6A,D Felony,"52641(40.988278, -91.57896)",BURGLARY 3RD DEGREE,Property,Burglary,12.66
2017,08/01/2016 12:00:00 AM,Paroled to Detainer - Iowa,White - Non-Hispanic,Male,55,Iowa Medical & Classification Center,123.46-B,Aggravated Misdemeanor,"52241(41.694462, -91.58569)",CONSUMPTION/INTOXICATION 3RD OR SUB.,Public Order,Alcohol,4.05
2017,09/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,59,Clarinda Correctional Facility,706A.2(2),B Felony,"51632(40.747654, -95.045654)",Ongoing Criminal Conduct - Criminal Network,Other,Other Criminal,11.71
2017,09/01/2016 12:00:00 AM,Work Release Granted,White - Hispanic,Male,37,Fort Dodge Correctional Facility,124.401(1)(b)(7),B Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,50.43
2017,03/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,20,North Central Correctional Facility,724.4,Aggravated Misdemeanor,"50579(42.394184, -94.640946)",CARRYING wEAPONS,Public Order,weapons,9.34
2017,08/01/2016 12:00:00 AM,Paroled to Detainer - INS,White - Hispanic,Male,22,Clarinda Correctional Facility,124.401(1)(c)(6),C Felony,"51632(40.747654, -95.045654)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,5.76
2017,02/01/2017 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,33,Iowa Medical & Classification Center,708.3A(3),Aggravated Misdemeanor,"52241(41.694462, -91.58569)",ASSAULT CAUSING INJURY--PEACE OFFICERS/OTHERS,Violent,Assault,24.01
2017,10/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,23,North Central Correctional Facility,713.6A,D Felony,"50579(42.394184, -94.640946)",BURGLARY 3RD DEGREE,Property,Burglary,5.72
2017,03/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,24,Iowa State Penitentiary,711.3,C Felony,"52627(40.651925, -91.34727)","ROBBERY 2ND DEGREE, 85%",Violent,Robbery,77.93
2017,07/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,31,North Central Correctional Facility,714.7,Aggravated Misdemeanor,"50579(42.394184, -94.640946)",OPERATE VEHICLE NO CONSENT,Property,Theft,4.28
2017,12/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,32,North Central Correctional Facility,714.2(2),D Felony,"50579(42.394184, -94.640946)",THEFT 2ND DEGREE,Property,Theft,6.25
2017,10/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,40,Clarinda Correctional Facility,715A.2(2)a,D Felony,"51632(40.747654, -95.045654)",FORGERY,Property,Forgery/Fraud,17.83
2017,09/01/2016 12:00:00 AM,Paroled to Detainer - INS,White - Hispanic,Male,31,Fort Dodge Correctional Facility,124.401(1)(b)(7),B Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,11.55
2017,11/01/2016 12:00:00 AM,Paroled W/Immediate Discharge,White - Non-Hispanic,Male,39,Clarinda Correctional Facility,714.7,Aggravated Misdemeanor,"51632(40.747654, -95.045654)",OPERATE VEHICLE NO CONSENT,Property,Theft,8.52
2017,10/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,53,Fort Dodge Correctional Facility,714.2(1),C Felony,"50501(42.494187, -94.188076)",THEFT 1ST DEGREE,Property,Theft,8.32
2017,03/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,44,Fort Dodge Correctional Facility,715A.2(2)a,D Felony,"50501(42.494187, -94.188076)",FORGERY,Property,Forgery/Fraud,28.42
2017,11/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,46,Iowa State Penitentiary,708.11(3B),D Felony,"52627(40.651925, -91.34727)",STALKING,Violent,Assault,15.13
2017,11/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,42,Mount Pleasant Correctional Facility,"706.3,C",D Felony,"52641(40.988278, -91.57896)",CONSPIRACY/COMMIT FELONY (PROPERTY),Other,Other Criminal,14.05
2017,06/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,41,Iowa Correctional Institution for women,"715A.8,A",D Felony,"50169(41.658201, -93.356797)",IDENTITY THEFT,Property,Theft,7.5
2017,02/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,23,Fort Dodge Correctional Facility,708.6(1),C Felony,"50501(42.494187, -94.188076)",INTIMIDATION wITH A DANGEROUS wEAPON,Violent,Assault,10.89
2017,08/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,28,Newton Correctional Facility,124.401(1)(c)(8),C Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking,7.8
2017,07/01/2016 12:00:00 AM,Paroled to Detainer - U.S. Marshall,White - Non-Hispanic,Male,27,Clarinda Correctional Facility,124.401(1)(c)(6),C Felony,"51632(40.747654, -95.045654)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,9.87
2017,05/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,26,Fort Dodge Correctional Facility,711.3,C Felony,"50501(42.494187, -94.188076)","ROBBERY 2ND DEGREE, 85%",Violent,Robbery,84.44
2017,07/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,26,Fort Dodge Correctional Facility,713.6A,D Felony,"50501(42.494187, -94.188076)",BURGLARY 3RD DEGREE,Property,Burglary,15.82
2017,08/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,29,Clarinda Correctional Facility,124.401(1)(c)(6),C Felony,"51632(40.747654, -95.045654)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,13.82
2017,08/01/2016 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,31,Fort Dodge Correctional Facility,709.11(3),Aggravated Misdemeanor,"50501(42.494187, -94.188076)",Asslt. to Commit Sex Abuse/No Inj.-10 Yr. Special Sent.,Violent,Sex,30.82
2017,11/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,33,Fort Dodge Correctional Facility,708.2A(5),D Felony,"50501(42.494187, -94.188076)",Domestic Abuse Assault Impeding Air/Blood Flow Causing Bodily Injury,Violent,Assault,14.8
2017,03/01/2017 12:00:00 AM,Work Release Granted,White - Hispanic,Male,35,Clarinda Correctional Facility,124.411,Felony - Enhancement to Original Penalty,"51632(40.747654, -95.045654)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,15.69
2017,04/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,28,Fort Dodge Correctional Facility,124.401(5)(c),D Felony,"50501(42.494187, -94.188076)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,16.78
2017,11/01/2016 12:00:00 AM,Paroled W/Immediate Discharge,White - Non-Hispanic,Female,21,Iowa Correctional Institution for women,708.2(4),D Felony,"50169(41.658201, -93.356797)",ASSAULT - SERIOUS INJURY,Violent,Assault,22.37
2017,12/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,56,Iowa State Penitentiary,713.6A,D Felony,"52627(40.651925, -91.34727)",BURGLARY 3RD DEGREE,Property,Burglary,9.51
2017,07/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,30,Anamosa State Penitentiary,124.401(1)(c)(6),C Felony,"52205(42.112167, -91.282703)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,27.37
2017,05/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,35,Iowa Correctional Institution for women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,5.86
2017,04/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,57,Clarinda Correctional Facility,124.401(5)(c),D Felony,"51632(40.747654, -95.045654)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,3.16
2017,11/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,30,Iowa Correctional Institution for women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,9.93
2017,11/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,23,Fort Dodge Correctional Facility,124.401(1)(c)(1),C Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Heroin LT 100gm",Drug,Trafficking,14.67
2017,03/01/2017 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,30,Newton Correctional Facility,709.4(2)(b),C Felony,"50208(41.707788, -93.035318)",Sexual Abuse-3rd/Victim 12 or 13 Yrs Old-Life Supervision,Violent,Sex,49.47
2017,08/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,44,Iowa State Penitentiary,692A.111-B,D Felony,"52627(40.651925, -91.34727)",Sex Offender - Registration Violation - 2nd or subsequent offense,Public Order,Other Public Order,3.65
2017,12/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,28,Iowa Correctional Institution for women,715A.2(2)a,D Felony,"50169(41.658201, -93.356797)",FORGERY,Property,Forgery/Fraud,6.05
2017,12/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,31,North Central Correctional Facility,124.401(5)(c),D Felony,"50579(42.394184, -94.640946)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,13.62
2017,12/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,25,Fort Dodge Correctional Facility,124.401(1)(d)(2),D Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,8.98
2017,11/01/2016 12:00:00 AM,Paroled W/Immediate Discharge,White - Non-Hispanic,Male,19,Mount Pleasant Correctional Facility,713.6A(2),Aggravated Misdemeanor,"52641(40.988278, -91.57896)",Burglary 3rd Degree - Motor Vehicle,Property,Burglary,9.01
2017,05/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,24,Clarinda Correctional Facility,708.4(2),D Felony,"51632(40.747654, -95.045654)",wILLFUL INJURY - CAUSING BODILY INJURY,Violent,Assault,16.28
2017,07/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,35,Iowa Correctional Institution for women,714.2(1),C Felony,"50169(41.658201, -93.356797)",THEFT 1ST DEGREE,Property,Theft,7.76
2017,12/01/2016 12:00:00 AM,Paroled W/Immediate Discharge,White - Non-Hispanic,Female,31,Iowa Correctional Institution for women,708.2(4),D Felony,"50169(41.658201, -93.356797)",ASSAULT - SERIOUS INJURY,Violent,Assault,6.84
2017,11/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,24,Fort Dodge Correctional Facility,724.26,D Felony,"50501(42.494187, -94.188076)","REC. TRANSP, POS. FIREARM FELON",Public Order,weapons,8.75
2017,04/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,22,North Central Correctional Facility,714.3A(2)(a),Aggravated Misdemeanor,"50579(42.394184, -94.640946)",Aggravated Theft,Violent,Assault,3.95
2017,06/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,37,Fort Dodge Correctional Facility,713.5,C Felony,"50501(42.494187, -94.188076)",BURGLARY 2ND DEGREE,Property,Burglary,19.93
2017,08/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Female,29,Iowa Correctional Institution for women,124.401(1)(c)(3),C Felony,"50169(41.658201, -93.356797)","Proh. Acts - Mfg, Del, Consp or Poss w/Int. - Cocaine LT 10 gm",Drug,Trafficking,29.41
2017,02/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,34,North Central Correctional Facility,713.5,C Felony,"50579(42.394184, -94.640946)",BURGLARY 2ND DEGREE,Property,Burglary,12.2
2017,04/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,37,Newton Correctional Facility,714.2(2),D Felony,"50208(41.707788, -93.035318)",THEFT 2ND DEGREE,Property,Theft,12.89
2017,01/01/2017 12:00:00 AM,Paroled to Detainer - Out of State,White - Non-Hispanic,Male,28,North Central Correctional Facility,714.2(2),D Felony,"50579(42.394184, -94.640946)",THEFT 2ND DEGREE,Property,Theft,10.59
2017,10/01/2016 12:00:00 AM,Paroled to Detainer - Out of State,Black - Non-Hispanic,Male,27,Clarinda Correctional Facility,124.401(1)(d)(2),D Felony,"51632(40.747654, -95.045654)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,8.06
2017,05/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,38,Newton Correctional Facility,"124.401(5),B",Aggravated Misdemeanor,"50208(41.707788, -93.035318)",Proh Acts-Poss w/o Prescription - 2nd Offense,Drug,Drug Possession,3.65
2017,09/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,26,Clarinda Correctional Facility,713.3,B Felony,"51632(40.747654, -95.045654)",BURGLARY 1ST DEGREE,Violent,Other Violent,21.25
2017,11/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,46,Clarinda Correctional Facility,321J.2(C),D Felony,"51632(40.747654, -95.045654)",OPER VEH wH INT (OwI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OwI,11.45
